testament,book,chapter,source,source_verses,russian_verses,match
OT,NUM,21,WLC,35,35,True
OT,NUM,22,WLC,41,41,True
OT,NUM,23,WLC,30,30,True
OT,NUM,24,WLC,25,25,True
OT,NUM,25,WLC,18,18,True
OT,NUM,26,WLC,65,65,True
OT,NUM,27,WLC,23,23,True
OT,NUM,28,WLC,31,31,True
OT,NUM,29,WLC,40,39,False
OT,NUM,30,WLC,16,17,False
OT,NUM,31,WLC,54,54,True
OT,NUM,32,WLC,42,42,True
OT,NUM,33,WLC,56,56,True
OT,NUM,34,WLC,29,29,True
OT,NUM,35,WLC,34,34,True
OT,NUM,36,WLC,13,13,True
OT,MIC,1,WLC,16,16,True
OT,MIC,2,WLC,13,13,True
OT,MIC,3,WLC,12,12,True
OT,MIC,4,WLC,13,13,True
OT,MIC,5,WLC,15,15,True
OT,MIC,6,WLC,16,16,True
OT,MIC,7,WLC,20,20,True
OT,HAG,1,WLC,15,15,True
OT,HAG,2,WLC,23,23,True
OT,2SA,1,WLC,27,27,True
OT,2SA,2,WLC,32,32,True
OT,2SA,3,WLC,39,39,True
OT,2SA,4,WLC,12,12,True
OT,2SA,5,WLC,25,25,True
OT,2SA,6,WLC,23,23,True
OT,2SA,7,WLC,29,29,True
OT,2SA,8,WLC,18,18,True
OT,2SA,9,WLC,13,13,True
OT,2SA,10,WLC,19,19,True
OT,2SA,11,WLC,27,27,True
OT,2SA,12,WLC,31,31,True
OT,2SA,13,WLC,39,39,True
OT,2SA,14,WLC,33,33,True
OT,2SA,15,WLC,37,37,True
OT,2SA,16,WLC,23,23,True
OT,2SA,17,WLC,29,29,True
OT,2SA,18,WLC,33,33,True
OT,2SA,19,WLC,43,43,True
OT,2SA,20,WLC,26,26,True
OT,2SA,21,WLC,22,22,True
OT,2SA,22,WLC,51,51,True
OT,2SA,23,WLC,39,39,True
OT,2SA,24,WLC,25,25,True
OT,EST,1,WLC,22,22,True
OT,EST,2,WLC,23,23,True
OT,EST,3,WLC,15,15,True
OT,EST,4,WLC,17,17,True
OT,EST,5,WLC,14,14,True
OT,EST,6,WLC,14,14,True
OT,EST,7,WLC,10,10,True
OT,EST,8,WLC,17,17,True
OT,EST,9,WLC,32,32,True
OT,EST,10,WLC,3,3,True
OT,EZK,1,WLC,28,28,True
OT,EZK,2,WLC,10,10,True
OT,EZK,3,WLC,27,27,True
OT,EZK,4,WLC,17,17,True
OT,EZK,5,WLC,17,17,True
OT,EZK,6,WLC,14,14,True
OT,EZK,7,WLC,27,27,True
OT,EZK,8,WLC,18,18,True
OT,EZK,9,WLC,11,11,True
OT,EZK,10,WLC,22,22,True
OT,EZK,11,WLC,25,25,True
OT,EZK,12,WLC,28,28,True
OT,EZK,13,WLC,23,23,True
OT,EZK,14,WLC,23,23,True
OT,EZK,15,WLC,8,8,True
OT,EZK,16,WLC,63,63,True
OT,EZK,17,WLC,24,24,True
OT,EZK,18,WLC,32,32,True
OT,EZK,19,WLC,14,14,True
OT,EZK,20,WLC,49,49,True
OT,EZK,21,WLC,32,32,True
OT,EZK,22,WLC,31,31,True
OT,EZK,23,WLC,49,49,True
OT,EZK,24,WLC,27,27,True
OT,EZK,25,WLC,17,17,True
OT,EZK,26,WLC,21,21,True
OT,EZK,27,WLC,36,36,True
OT,EZK,28,WLC,26,26,True
OT,EZK,29,WLC,21,21,True
OT,EZK,30,WLC,26,26,True
OT,EZK,31,WLC,18,18,True
OT,EZK,32,WLC,32,32,True
OT,EZK,33,WLC,33,33,True
OT,EZK,34,WLC,31,31,True
OT,EZK,35,WLC,15,15,True
OT,EZK,36,WLC,38,38,True
OT,EZK,37,WLC,28,28,True
OT,EZK,38,WLC,23,23,True
OT,EZK,39,WLC,29,29,True
OT,EZK,40,WLC,49,49,True
OT,EZK,41,WLC,26,26,True
OT,EZK,42,WLC,20,20,True
OT,EZK,43,WLC,27,27,True
OT,EZK,44,WLC,31,31,True
OT,EZK,45,WLC,25,25,True
OT,EZK,46,WLC,24,24,True
OT,EZK,47,WLC,23,23,True
OT,EZK,48,WLC,35,35,True
OT,LEV,1,WLC,17,17,True
OT,LEV,2,WLC,16,16,True
OT,LEV,3,WLC,17,17,True
OT,LEV,4,WLC,35,35,True
OT,LEV,5,WLC,19,19,True
OT,LEV,6,WLC,30,30,True
OT,LEV,7,WLC,38,38,True
OT,LEV,8,WLC,36,36,True
OT,LEV,9,WLC,24,24,True
OT,LEV,10,WLC,20,20,True
OT,LEV,11,WLC,47,47,True
OT,LEV,12,WLC,8,8,True
OT,LEV,13,WLC,59,59,True
OT,LEV,14,WLC,57,56,False
OT,LEV,15,WLC,33,33,True
OT,LEV,16,WLC,34,34,True
OT,LEV,17,WLC,16,16,True
OT,LEV,18,WLC,30,30,True
OT,LEV,19,WLC,37,37,True
OT,LEV,20,WLC,27,27,True
OT,LEV,21,WLC,24,24,True
OT,LEV,22,WLC,33,33,True
OT,LEV,23,WLC,44,44,True
OT,LEV,24,WLC,23,23,True
OT,LEV,25,WLC,55,55,True
OT,LEV,26,WLC,46,46,True
OT,LEV,27,WLC,34,34,True
OT,EZR,1,WLC,11,11,True
OT,EZR,2,WLC,70,70,True
OT,EZR,3,WLC,13,13,True
OT,EZR,4,WLC,24,24,True
OT,EZR,5,WLC,17,17,True
OT,EZR,6,WLC,22,22,True
OT,EZR,7,WLC,28,28,True
OT,EZR,8,WLC,36,36,True
OT,EZR,9,WLC,15,15,True
OT,EZR,10,WLC,44,44,True
OT,MAL,1,WLC,14,14,True
OT,MAL,2,WLC,17,17,True
OT,MAL,3,WLC,18,18,True
OT,MAL,4,WLC,6,6,True
OT,SNG,1,WLC,17,16,False
OT,SNG,2,WLC,17,17,True
OT,SNG,3,WLC,11,11,True
OT,SNG,4,WLC,16,16,True
OT,SNG,5,WLC,16,16,True
OT,SNG,6,WLC,13,12,False
OT,SNG,7,WLC,13,14,False
OT,SNG,8,WLC,14,14,True
OT,JOB,1,WLC,22,22,True
OT,JOB,2,WLC,13,13,True
OT,JOB,3,WLC,26,26,True
OT,JOB,4,WLC,21,21,True
OT,JOB,5,WLC,27,27,True
OT,JOB,6,WLC,30,30,True
OT,JOB,7,WLC,21,21,True
OT,JOB,8,WLC,22,22,True
OT,JOB,9,WLC,35,35,True
OT,JOB,10,WLC,22,22,True
OT,JOB,11,WLC,20,20,True
OT,JOB,12,WLC,25,25,True
OT,JOB,13,WLC,28,28,True
OT,JOB,14,WLC,22,22,True
OT,JOB,15,WLC,35,35,True
OT,JOB,16,WLC,22,22,True
OT,JOB,17,WLC,16,16,True
OT,JOB,18,WLC,21,21,True
OT,JOB,19,WLC,29,29,True
OT,JOB,20,WLC,29,29,True
OT,JOB,21,WLC,34,34,True
OT,JOB,22,WLC,30,30,True
OT,JOB,23,WLC,17,17,True
OT,JOB,24,WLC,25,25,True
OT,JOB,25,WLC,6,6,True
OT,JOB,26,WLC,14,14,True
OT,JOB,27,WLC,23,23,True
OT,JOB,28,WLC,28,28,True
OT,JOB,29,WLC,25,25,True
OT,JOB,30,WLC,31,31,True
OT,JOB,31,WLC,40,40,True
OT,JOB,32,WLC,22,22,True
OT,JOB,33,WLC,33,33,True
OT,JOB,34,WLC,37,37,True
OT,JOB,35,WLC,16,16,True
OT,JOB,36,WLC,33,33,True
OT,JOB,37,WLC,24,24,True
OT,JOB,38,WLC,41,41,True
OT,JOB,39,WLC,30,35,False
OT,JOB,40,WLC,24,27,False
OT,JOB,41,WLC,34,26,False
OT,JOB,42,WLC,17,17,True
OT,NAM,1,WLC,15,15,True
OT,NAM,2,WLC,13,13,True
OT,NAM,3,WLC,19,19,True
OT,PSA,1,WLC,6,6,True
OT,PSA,2,WLC,12,12,True
OT,PSA,3,WLC,8,9,False
OT,PSA,4,WLC,8,9,False
OT,PSA,5,WLC,12,13,False
OT,PSA,6,WLC,10,11,False
OT,PSA,7,WLC,17,18,False
OT,PSA,8,WLC,9,10,False
OT,PSA,9,WLC,20,39,False
OT,PSA,10,WLC,18,7,False
OT,PSA,11,WLC,7,9,False
OT,PSA,12,WLC,8,6,False
OT,PSA,13,WLC,6,7,False
OT,PSA,14,WLC,7,5,False
OT,PSA,15,WLC,5,11,False
OT,PSA,16,WLC,11,15,False
OT,PSA,17,WLC,15,51,False
OT,PSA,18,WLC,50,15,False
OT,PSA,19,WLC,14,10,False
OT,PSA,20,WLC,9,14,False
OT,PSA,21,WLC,13,32,False
OT,PSA,22,WLC,31,6,False
OT,PSA,23,WLC,6,10,False
OT,PSA,24,WLC,10,22,False
OT,PSA,25,WLC,22,12,False
OT,PSA,26,WLC,12,14,False
OT,PSA,27,WLC,14,9,False
OT,PSA,28,WLC,9,11,False
OT,PSA,29,WLC,11,13,False
OT,PSA,30,WLC,12,25,False
OT,PSA,31,WLC,24,11,False
OT,PSA,32,WLC,11,22,False
OT,PSA,33,WLC,22,23,False
OT,PSA,34,WLC,22,28,False
OT,PSA,35,WLC,28,13,False
OT,PSA,36,WLC,12,40,False
OT,PSA,37,WLC,40,23,False
OT,PSA,38,WLC,22,14,False
OT,PSA,39,WLC,13,18,False
OT,PSA,40,WLC,17,14,False
OT,PSA,41,WLC,13,12,False
OT,PSA,42,WLC,11,5,False
OT,PSA,43,WLC,5,27,False
OT,PSA,44,WLC,26,18,False
OT,PSA,45,WLC,17,12,False
OT,PSA,46,WLC,11,10,False
OT,PSA,47,WLC,9,15,False
OT,PSA,48,WLC,14,21,False
OT,PSA,49,WLC,20,23,False
OT,PSA,50,WLC,23,21,False
OT,PSA,51,WLC,19,11,False
OT,PSA,52,WLC,9,7,False
OT,PSA,53,WLC,6,9,False
OT,PSA,54,WLC,7,24,False
OT,PSA,55,WLC,23,14,False
OT,PSA,56,WLC,13,12,False
OT,PSA,57,WLC,11,12,False
OT,PSA,58,WLC,11,18,False
OT,PSA,59,WLC,17,14,False
OT,PSA,60,WLC,12,9,False
OT,PSA,61,WLC,8,13,False
OT,PSA,62,WLC,12,12,True
OT,PSA,63,WLC,11,11,True
OT,PSA,64,WLC,10,14,False
OT,PSA,65,WLC,13,20,False
OT,PSA,66,WLC,20,8,False
OT,PSA,67,WLC,7,36,False
OT,PSA,68,WLC,35,37,False
OT,PSA,69,WLC,36,6,False
OT,PSA,70,WLC,5,24,False
OT,PSA,71,WLC,24,20,False
OT,PSA,72,WLC,20,28,False
OT,PSA,73,WLC,28,23,False
OT,PSA,74,WLC,23,11,False
OT,PSA,75,WLC,10,13,False
OT,PSA,76,WLC,12,21,False
OT,PSA,77,WLC,20,72,False
OT,PSA,78,WLC,72,13,False
OT,PSA,79,WLC,13,20,False
OT,PSA,80,WLC,19,17,False
OT,PSA,81,WLC,16,8,False
OT,PSA,82,WLC,8,19,False
OT,PSA,83,WLC,18,13,False
OT,PSA,84,WLC,12,14,False
OT,PSA,85,WLC,13,17,False
OT,PSA,86,WLC,17,7,False
OT,PSA,87,WLC,7,19,False
OT,PSA,88,WLC,18,53,False
OT,PSA,89,WLC,52,17,False
OT,PSA,90,WLC,17,16,False
OT,PSA,91,WLC,16,16,True
OT,PSA,92,WLC,15,5,False
OT,PSA,93,WLC,5,23,False
OT,PSA,94,WLC,23,11,False
OT,PSA,95,WLC,11,13,False
OT,PSA,96,WLC,13,12,False
OT,PSA,97,WLC,12,9,False
OT,PSA,98,WLC,9,9,True
OT,PSA,99,WLC,9,5,False
OT,PSA,100,WLC,5,8,False
OT,PSA,101,WLC,8,29,False
OT,PSA,102,WLC,28,22,False
OT,PSA,103,WLC,22,35,False
OT,PSA,104,WLC,35,45,False
OT,PSA,105,WLC,45,48,False
OT,PSA,106,WLC,48,43,False
OT,PSA,107,WLC,43,14,False
OT,PSA,108,WLC,13,31,False
OT,PSA,109,WLC,31,7,False
OT,PSA,110,WLC,7,10,False
OT,PSA,111,WLC,10,10,True
OT,PSA,112,WLC,10,9,False
OT,PSA,113,WLC,9,26,False
OT,PSA,114,WLC,8,9,False
OT,PSA,115,WLC,18,10,False
OT,PSA,116,WLC,19,2,False
OT,PSA,117,WLC,2,29,False
OT,PSA,118,WLC,29,176,False
OT,PSA,119,WLC,176,7,False
OT,PSA,120,WLC,7,8,False
OT,PSA,121,WLC,8,9,False
OT,PSA,122,WLC,9,4,False
OT,PSA,123,WLC,4,8,False
OT,PSA,124,WLC,8,5,False
OT,PSA,125,WLC,5,6,False
OT,PSA,126,WLC,6,5,False
OT,PSA,127,WLC,5,6,False
OT,PSA,128,WLC,6,8,False
OT,PSA,129,WLC,8,8,True
OT,PSA,130,WLC,8,3,False
OT,PSA,131,WLC,3,18,False
OT,PSA,132,WLC,18,3,False
OT,PSA,133,WLC,3,3,True
OT,PSA,134,WLC,3,21,False
OT,PSA,135,WLC,21,26,False
OT,PSA,136,WLC,26,9,False
OT,PSA,137,WLC,9,8,False
OT,PSA,138,WLC,8,24,False
OT,PSA,139,WLC,24,14,False
OT,PSA,140,WLC,13,10,False
OT,PSA,141,WLC,10,7,False
OT,PSA,142,WLC,7,12,False
OT,PSA,143,WLC,12,15,False
OT,PSA,144,WLC,15,21,False
OT,PSA,145,WLC,21,10,False
OT,PSA,146,WLC,10,11,False
OT,PSA,147,WLC,20,9,False
OT,PSA,148,WLC,14,14,True
OT,PSA,149,WLC,9,9,True
