book,chapter,expected_verses,actual_verses,match
2TI,2,26,26,True
2TI,3,17,17,True
2TI,4,22,22,True
TIT,1,16,16,True
TIT,2,15,15,True
TIT,3,15,15,True
PHM,1,25,25,True
HEB,1,14,14,True
HEB,2,18,18,True
HEB,3,19,19,True
HEB,4,16,16,True
HEB,5,14,14,True
HEB,6,20,20,True
HEB,7,28,28,True
HEB,8,13,13,True
HEB,9,28,28,True
HEB,10,39,39,True
HEB,11,40,40,True
HEB,12,29,29,True
HEB,13,25,25,True
JAS,1,27,27,True
JAS,2,26,26,True
JAS,3,18,18,True
JAS,4,17,17,True
JAS,5,20,20,True
1PE,1,25,25,True
1PE,2,25,25,True
1PE,3,22,22,True
1PE,4,19,19,True
