book,chapter,verse,flags,priority
MAT,11,12,TRANSLATION,normal
MAT,11,19,TRANSLATION,normal
MAT,11,21,TRANSLATION,normal
MAT,11,22,TRANSLATION,normal
MAT,11,24,TRANSLATION,normal
MAT,11,25,TRANSLATION,normal
MAT,11,27,TRANSLATION,normal
MAT,12,5,TRANSLATION,normal
MAT,12,7,TRANSLATION,normal
MAT,12,8,TRANSLATION,normal
MAT,12,10,TRANSLATION,normal
MAT,12,12,TRANSLATION,normal
MAT,12,20,TRANSLATION,normal
MAT,12,22,TRANSLATION,normal
MAT,12,26,TRANSLATION,normal
MAT,12,27,TRANSLATION,normal
MAT,12,29,TRANSLATION,normal
MAT,12,36,TRANSLATION,normal
MAT,12,37,TRANSLATION,normal
MAT,12,41,TRANSLATION,normal
MAT,12,42,TRANSLATION,normal
MAT,12,47,TRANSLATION,normal
MAT,12,48,TRANSLATION,normal
MAT,13,4,TRANSLATION,normal
MAT,13,5,TRANSLATION,normal
MAT,13,6,TRANSLATION,normal
MAT,13,7,TRANSLATION,normal
MAT,13,12,TRANSLATION,normal
MAT,13,14,TRANSLATION,normal
MAT,13,15,TRANSLATION,normal
MAT,13,18,TRANSLATION,normal
MAT,13,22,TRANSLATION,normal
MAT,13,24,TRANSLATION,normal
MAT,13,37,TRANSLATION,normal
MAT,13,38,TRANSLATION,normal
MAT,13,40,TRANSLATION,normal
MAT,13,44,TRANSLATION,normal
MAT,13,45,TRANSLATION,normal
MAT,13,52,TRANSLATION,normal
MAT,13,54,TRANSLATION,normal
MAT,13,56,TRANSLATION,normal
MAT,13,57,TRANSLATION,normal
MAT,14,2,TRANSLATION,normal
MAT,14,4,TRANSLATION,normal
MAT,14,5,TRANSLATION,normal
MAT,14,6,TRANSLATION,normal
MAT,14,7,TRANSLATION,normal
MAT,14,9,TRANSLATION,normal
MAT,14,10,TRANSLATION,normal
MAT,14,14,TRANSLATION,normal
MAT,14,21,TRANSLATION,normal
MAT,14,32,TRANSLATION,normal
MAT,15,4,TRANSLATION,normal
MAT,15,5,TRANSLATION,normal
MAT,15,9,TRANSLATION,normal
MAT,15,14,TRANSLATION,normal
MAT,15,20,TRANSLATION,normal
MAT,15,32,TRANSLATION,normal
MAT,16,1,TRANSLATION,normal
MAT,16,3,TRANSLATION,normal
MAT,16,7,TRANSLATION,normal
MAT,16,8,TRANSLATION,normal
MAT,16,16,TRANSLATION,normal
MAT,16,20,TRANSLATION,normal
MAT,16,28,TRANSLATION,normal
MAT,17,1,TRANSLATION,normal
MAT,17,3,TRANSLATION,normal
MAT,17,4,TRANSLATION,normal
MAT,17,5,TRANSLATION,normal
MAT,17,8,TRANSLATION,normal
MAT,17,16,TRANSLATION,normal
MAT,17,18,TRANSLATION,normal
MAT,17,22,TRANSLATION,normal
MAT,17,25,TRANSLATION,normal
MAT,17,26,TRANSLATION,normal
MAT,17,27,TRANSLATION,normal
MAT,18,3,TRANSLATION,normal
MAT,18,6,TRANSLATION,normal
MAT,18,11,TRANSLATION,normal
MAT,18,13,TRANSLATION,normal
MAT,18,16,TRANSLATION,normal
MAT,18,21,TRANSLATION,normal
MAT,18,23,TRANSLATION,normal
MAT,18,28,TRANSLATION,normal
MAT,18,29,TRANSLATION,normal
MAT,18,34,TRANSLATION,normal
MAT,19,7,TRANSLATION,normal
MAT,19,8,TRANSLATION,normal
MAT,19,10,TRANSLATION,normal
MAT,19,13,TRANSLATION,normal
MAT,19,24,TRANSLATION,normal
MAT,20,2,TRANSLATION,normal
MAT,20,3,TRANSLATION,normal
MAT,20,4,TRANSLATION,normal
MAT,20,7,TRANSLATION,normal
MAT,20,12,TRANSLATION,normal
MAT,20,15,TRANSLATION,normal
MAT,20,34,TRANSLATION,normal
