decision,category,strongs,canonical_label,goi_form,kjv_form,webus_form,occurrence_count,unique_target_count,sample_refs,review_note
active_review,person_or_place,H3270,Yaʻăzêyr,Jaazer,Jazer,Jazer,11,10,NUM 32:1; NUM 32:3; JOS 13:25; JOS 21:39; 2SA 24:5; 1CH 6:66; 1CH 26:31; ISA 16:8; ISA 16:9; JER 48:32,
active_review,person_or_place,H3568,Kûwsh,Cush,Ethiopia,Ethiopia,11,11,EST 1:1; EST 8:9; PSA 87:4; ISA 18:1; ISA 20:3; ISA 20:5; ISA 37:9; ISA 43:3; ISA 45:14; EZK 29:10; EZK 30:4,
active_review,divine_name_or_title,H430,ʼĕlôhîym,God,mighty,mighty,11,9,EXO 1:20; EXO 9:28; EXO 32:11; DEU 5:15; DEU 7:19; DEU 11:2; 2CH 27:6; ISA 21:17; DAN 9:15,
active_review,person_or_place,H1507,Gezer,Gazer,Gezer,Gezer,9,8,JOS 10:33; JOS 12:12; JOS 16:3; JOS 16:10; JDG 1:29; 1KI 9:15; 1KI 9:16; 1CH 20:4,
active_review,person_or_place,H2605,Chânân,Canan,Hanan,Hanan,9,9,1CH 8:23; 1CH 8:38; 1CH 9:44; 1CH 11:43; NEH 7:49; NEH 8:7; NEH 10:11; NEH 10:23; NEH 10:27,
active_review,person_or_place,H3107,Yôwzâbâd,Josabad,Jozabad,Jozabad,9,8,1CH 12:21; 2CH 31:13; 2CH 35:9; EZR 8:33; EZR 10:22; EZR 10:23; NEH 8:7; NEH 11:16,
active_review,person_or_place,H7143,Qârêach,Careah,Kareah,Kareah,9,9,JER 40:8; JER 40:13; JER 40:15; JER 40:16; JER 41:11; JER 41:16; JER 42:8; JER 43:4; JER 43:5,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,O Lord,O LORD,LORD,8,8,2SA 7:25; 2CH 1:9; PSA 3:8; PSA 17:13; PSA 27:7; PSA 36:7; PSA 142:6; JER 10:6,
active_review,person_or_place,H863,ʼIttay,Ithai,Ittai,Ittai,8,7,2SA 15:19; 2SA 15:21; 2SA 15:22; 2SA 18:2; 2SA 18:5; 2SA 18:12; 2SA 23:29,
active_review,person_or_place,H894,Bâbel,Babel,Babylon,Babylon,8,7,PSA 87:4; JER 32:5; JER 51:8; JER 51:30; JER 51:37; JER 51:49; JER 51:53,
active_review,divine_name_or_title,G2962,kýrios,Master,Lord,Lord,7,7,MAT 18:26; MAT 25:20; MAT 25:22; MAT 25:24; LUK 19:16; LUK 19:18; LUK 19:20,
active_review,person_or_place,H1296,Berekyâh,Berachiah,Berechiah,Berechiah,7,7,1CH 3:20; 1CH 9:16; 1CH 15:23; NEH 3:4; NEH 3:30; NEH 6:18; ZEC 1:7,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,Jehovah,The LORD,The LORD,7,6,EXO 7:16; 1SA 12:5; 2SA 5:20; 1KI 8:12; ISA 49:14; JER 51:10,
active_review,divine_name_or_title,H3069,Yᵉhôvih,LORD,Lord GOD,Lord GOD,7,7,1KI 2:26; EZK 8:1; EZK 22:12; EZK 26:7; EZK 45:15; AMO 3:8; AMO 8:1,
active_review,divine_name_or_title,H430,ʼĕlôhîym,God,GOD,GOD,7,7,EXO 34:23; JDG 16:28; 2SA 7:28; PSA 69:7; EZK 20:5; EZK 28:6; AMO 6:8,
active_review,person_or_place,H2900,Ṭôwbîyâh,Tobijah,Tobiah,Tobiah,6,6,EZR 2:60; NEH 2:10; NEH 2:19; NEH 3:35; NEH 6:1; NEH 6:19,
active_review,divine_name_or_title,H3050,Yâhh,Jah,the LORD,the LORD,6,5,PSA 77:12; PSA 115:17; PSA 115:18; PSA 147:1; PSA 150:1,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,Jehovah,LORD,LORD,6,6,1CH 17:26; PSA 3:2; PSA 21:14; PSA 89:47; PSA 94:3; ISA 26:11,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,the Lord,The LORD,The LORD,6,6,GEN 24:40; 1CH 23:25; 2CH 6:1; PSA 145:8; JER 29:15; LAM 2:8,
active_review,person_or_place,H3088,Yᵉhôwrâm,Jehoram,Joram,Joram,6,5,2KI 9:15; 2KI 9:17; 2KI 9:21; 2KI 9:22; 2KI 9:23,
active_review,divine_name_or_title,H430,ʼĕlôhîym,God,god,god,6,5,DEU 32:39; JDG 6:31; JDG 16:24; AMO 8:14; HAB 1:11,
active_review,divine_name_or_title,H430,ʼĕlôhîym,gods,god,god,6,6,EXO 22:19; JDG 9:27; 2KI 1:2; 2KI 19:37; 2CH 32:15; JON 1:5,
active_review,person_or_place,H4709,Mitspâh,Mitspah,Mizpah,Mizpah,6,5,2KI 25:25; NEH 3:15; JER 40:10; JER 41:6; JER 41:10,
active_review,person_or_place,H5804,ʻAzzâh,Azzah,Gaza,Gaza,6,6,JOS 10:41; JOS 11:22; JOS 15:47; JDG 1:18; JER 47:1; ZEP 2:4,
active_review,person_or_place,H758,ʼĂrâm,Arameans,Syrians,Syrians,6,5,2SA 8:5; 2SA 10:14; 1KI 20:20; 2KI 24:2; 1CH 19:15,
active_review,person_or_place,H7586,Shâʼûwl,Saul,Shaul,Shaul,6,6,GEN 46:10; EXO 6:15; NUM 26:13; 1CH 1:48; 1CH 1:49; 1CH 4:24,
active_review,person_or_place,H763,ʼĂram Nahărayim,Aram-naharaim,Mesopotamia,Mesopotamia,6,3,GEN 24:10; JDG 3:8; 1CH 19:6,
active_review,divine_name_or_title,G2962,kýrios,Sir,Lord,Lord,5,5,LUK 13:8; LUK 14:22; LUK 19:25; JHN 6:34; ACT 10:4,
active_review,divine_name_or_title,H136,ʼĂdônây,Lord,LORD,LORD,5,5,JDG 13:8; ISA 49:14; EZK 21:14; AMO 7:8; MAL 1:12,
active_review,person_or_place,H1954,Hôwshêaʻ,Hosea,Hoshea,Hoshea,5,5,2KI 15:30; 2KI 17:3; 2KI 17:4; 2KI 17:6; 2KI 18:1,
active_review,person_or_place,H223,ʼÛwrîyâh,Uriah,Urijah,Urijah,5,4,2KI 16:10; 2KI 16:11; 2KI 16:15; 2KI 16:16,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,The Lord,the LORD,the LORD,5,4,GEN 12:1; 1SA 2:10; 1SA 12:6; 2CH 7:12,
active_review,divine_name_or_title,H3069,Yᵉhôvih,Lord the LORD,Lord GOD,Lord GOD,5,5,EZK 14:11; EZK 27:3; EZK 34:31; EZK 36:6; EZK 38:18,
active_review,person_or_place,H3470,Yᵉshaʻyâh,Jesaiah,Jeshaiah,Jeshaiah,5,5,1CH 25:3; 1CH 25:15; 1CH 26:25; EZR 8:7; EZR 8:19,
active_review,divine_name_or_title,H430,ʼĕlôhîym,God,gods,gods,5,3,DEU 7:25; JDG 5:8; JER 16:20,
active_review,divine_name_or_title,H430,ʼĕlôhîym,mighty,God,God,5,4,1CH 9:13; 1CH 9:26; NEH 10:30; PSA 71:18,
active_review,person_or_place,H4363,Mikmâç,Mikmash,Michmash,Michmash,5,5,1SA 13:2; 1SA 13:5; 1SA 13:11; 1SA 13:16; 1SA 13:23,
active_review,person_or_place,H4441,Malkîyâh,Malchiah,Malchijah,Malchijah,5,4,1CH 9:12; 1CH 24:9; EZR 10:25; NEH 12:42,
active_review,divine_name_or_title,G2962,kýrios,owner,lord,lord,4,4,MAT 20:8; MAT 21:40; LUK 20:13; LUK 20:15,
active_review,person_or_place,H1806,Dᵉlâyâh,Dalaiah,Delaiah,Delaiah,4,4,EZR 2:60; NEH 6:10; NEH 7:62; JER 36:12,
active_review,person_or_place,H3003,Yâbêsh,Jabesh-gilead,Jabesh,Jabesh,4,2,1SA 11:1; 1SA 11:9,
active_review,person_or_place,H3003,Yâbêsh,Jobesh,Jabesh,Jabesh,4,4,1SA 11:3; 2KI 15:10; 2KI 15:13; 2KI 15:14,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,The Lord,the LORD,The LORD,4,4,EXO 7:1; DEU 34:4; 2SA 12:1; 1KI 11:14,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,The Lord,The LORD,The LORD,4,3,DEU 1:10; 2CH 6:10; PSA 16:5,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,the LORD,the Lord,the Lord,4,4,PSA 68:27; ISA 3:17; ISA 10:33; MAL 1:14,
active_review,person_or_place,H3082,Yᵉhôwnâdâb,Jehonadab,Jonadab,Jonadab,4,4,2SA 13:5; JER 35:8; JER 35:14; JER 35:16,
active_review,person_or_place,H3778,Kasdîy,Chaldeans,Chaldees,Chaldees,4,4,GEN 11:28; GEN 11:31; GEN 15:7; NEH 9:7,
active_review,person_or_place,H3778,Kasdîy,Chaldeans,Chaldea,Chaldea,4,4,JER 50:10; EZK 11:24; EZK 16:29; EZK 23:15,
active_review,person_or_place,H467,ʼĔlîypheleṭ,Eliphalet,Eliphelet,Eliphelet,4,4,2SA 23:34; 1CH 8:39; EZR 8:13; EZR 10:33,
active_review,person_or_place,H501,ʼElʻâsâh,Elasah,Eleasah,Eleasah,4,4,1CH 2:39; 1CH 2:40; 1CH 8:37; 1CH 9:43,
