testament,source_noun_occurrences,distinct_strongs,rendered_strongs,missing_renderings,duplicate_anchors,status
NT,28889,2369,0,2369,0,source anchors complete; Arabic renderings not started
OT,144955,6333,0,6333,0,source anchors complete; Arabic renderings not started
