phase,action,resolution,source,target,book,wlc_ch,wlc_v,note,dry_run
2,RENAME,RENAME,029_JOL_004_007_WLC.txt,029_JOL_003_007_WLC.txt,JOL,4,7,,True
2,RENAME,RENAME,029_JOL_004_008_WLC.txt,029_JOL_003_008_WLC.txt,JOL,4,8,,True
2,RENAME,RENAME,029_JOL_004_009_WLC.txt,029_JOL_003_009_WLC.txt,JOL,4,9,,True
2,RENAME,RENAME,029_JOL_004_010_WLC.txt,029_JOL_003_010_WLC.txt,JOL,4,10,,True
2,RENAME,RENAME,029_JOL_004_011_WLC.txt,029_JOL_003_011_WLC.txt,JOL,4,11,,True
2,RENAME,RENAME,029_JOL_004_012_WLC.txt,029_JOL_003_012_WLC.txt,JOL,4,12,,True
2,RENAME,RENAME,029_JOL_004_013_WLC.txt,029_JOL_003_013_WLC.txt,JOL,4,13,,True
2,RENAME,RENAME,029_JOL_004_014_WLC.txt,029_JOL_003_014_WLC.txt,JOL,4,14,,True
2,RENAME,RENAME,029_JOL_004_015_WLC.txt,029_JOL_003_015_WLC.txt,JOL,4,15,,True
2,RENAME,RENAME,029_JOL_004_016_WLC.txt,029_JOL_003_016_WLC.txt,JOL,4,16,,True
2,RENAME,RENAME,029_JOL_004_017_WLC.txt,029_JOL_003_017_WLC.txt,JOL,4,17,,True
2,RENAME,RENAME,029_JOL_004_018_WLC.txt,029_JOL_003_018_WLC.txt,JOL,4,18,,True
2,RENAME,RENAME,029_JOL_004_019_WLC.txt,029_JOL_003_019_WLC.txt,JOL,4,19,,True
2,RENAME,RENAME,029_JOL_004_020_WLC.txt,029_JOL_003_020_WLC.txt,JOL,4,20,,True
2,RENAME,RENAME,029_JOL_004_021_WLC.txt,029_JOL_003_021_WLC.txt,JOL,4,21,,True
2,RENAME,RENAME,011_1KI_022_054_WLC.txt,011_1KI_023_001_WLC.txt,1KI,22,54,,True
