side,reference,book,chapter,verse,category,note
WLC_ONLY,2SA 19:44,2SA,19,44,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,DAN 3:31,DAN,3,31,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,DAN 3:32,DAN,3,32,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,DAN 3:33,DAN,3,33,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,DAN 6:29,DAN,6,29,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,DEU 13:19,DEU,13,19,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,DEU 23:26,DEU,23,26,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,DEU 28:69,DEU,28,69,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,ECC 4:17,ECC,4,17,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,EXO 7:26,EXO,7,26,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,EXO 7:27,EXO,7,27,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,EXO 7:28,EXO,7,28,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,EXO 7:29,EXO,7,29,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,EXO 21:37,EXO,21,37,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,EZK 21:33,EZK,21,33,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,EZK 21:34,EZK,21,34,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,EZK 21:35,EZK,21,35,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,EZK 21:36,EZK,21,36,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,EZK 21:37,EZK,21,37,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,GEN 32:33,GEN,32,33,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,HOS 2:24,HOS,2,24,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,HOS 2:25,HOS,2,25,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,HOS 12:15,HOS,12,15,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,HOS 14:10,HOS,14,10,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,ISA 8:23,ISA,8,23,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,JER 8:23,JER,8,23,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,JOB 40:25,JOB,40,25,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,JOB 40:26,JOB,40,26,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,JOB 40:27,JOB,40,27,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,JOB 40:28,JOB,40,28,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,JOB 40:29,JOB,40,29,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,JOB 40:30,JOB,40,30,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,JOB 40:31,JOB,40,31,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,JOB 40:32,JOB,40,32,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,JOL 4:1,JOL,4,1,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,JOL 4:2,JOL,4,2,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,JOL 4:3,JOL,4,3,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
