kind,reference
EXTRA_IN_GOI,005_DEU_023_026
EXTRA_IN_GOI,005_DEU_028_069
EXTRA_IN_GOI,009_1SA_021_016
EXTRA_IN_GOI,009_1SA_024_023
EXTRA_IN_GOI,010_2SA_019_044
EXTRA_IN_GOI,011_1KI_005_019
EXTRA_IN_GOI,011_1KI_005_020
EXTRA_IN_GOI,011_1KI_005_021
EXTRA_IN_GOI,011_1KI_005_022
EXTRA_IN_GOI,011_1KI_005_023
EXTRA_IN_GOI,011_1KI_005_024
EXTRA_IN_GOI,011_1KI_005_025
EXTRA_IN_GOI,011_1KI_005_026
EXTRA_IN_GOI,011_1KI_005_027
EXTRA_IN_GOI,011_1KI_005_028
EXTRA_IN_GOI,011_1KI_005_029
EXTRA_IN_GOI,011_1KI_005_030
EXTRA_IN_GOI,011_1KI_005_031
EXTRA_IN_GOI,011_1KI_005_032
EXTRA_IN_GOI,011_1KI_023_001
EXTRA_IN_GOI,012_2KI_012_022
EXTRA_IN_GOI,013_1CH_005_027
EXTRA_IN_GOI,013_1CH_005_028
EXTRA_IN_GOI,013_1CH_005_029
EXTRA_IN_GOI,013_1CH_005_030
EXTRA_IN_GOI,013_1CH_005_031
EXTRA_IN_GOI,013_1CH_005_032
EXTRA_IN_GOI,013_1CH_005_033
EXTRA_IN_GOI,013_1CH_005_034
EXTRA_IN_GOI,013_1CH_005_035
EXTRA_IN_GOI,013_1CH_005_036
EXTRA_IN_GOI,013_1CH_005_037
EXTRA_IN_GOI,013_1CH_005_038
EXTRA_IN_GOI,013_1CH_005_039
EXTRA_IN_GOI,013_1CH_005_040
EXTRA_IN_GOI,013_1CH_005_041
EXTRA_IN_GOI,013_1CH_012_041
EXTRA_IN_GOI,014_2CH_001_018
EXTRA_IN_GOI,014_2CH_013_023
EXTRA_IN_GOI,016_NEH_003_033
EXTRA_IN_GOI,016_NEH_003_034
EXTRA_IN_GOI,016_NEH_003_035
EXTRA_IN_GOI,016_NEH_003_036
EXTRA_IN_GOI,016_NEH_003_037
EXTRA_IN_GOI,016_NEH_003_038
EXTRA_IN_GOI,016_NEH_010_040
EXTRA_IN_GOI,018_JOB_040_025
EXTRA_IN_GOI,018_JOB_040_026
EXTRA_IN_GOI,018_JOB_040_027
EXTRA_IN_GOI,018_JOB_040_028
EXTRA_IN_GOI,018_JOB_040_029
EXTRA_IN_GOI,018_JOB_040_030
EXTRA_IN_GOI,018_JOB_040_031
EXTRA_IN_GOI,018_JOB_040_032
EXTRA_IN_GOI,019_PSA_003_009
EXTRA_IN_GOI,019_PSA_004_009
EXTRA_IN_GOI,019_PSA_005_013
EXTRA_IN_GOI,019_PSA_006_011
EXTRA_IN_GOI,019_PSA_007_018
EXTRA_IN_GOI,019_PSA_008_010
EXTRA_IN_GOI,019_PSA_009_021
EXTRA_IN_GOI,019_PSA_012_009
EXTRA_IN_GOI,019_PSA_018_051
EXTRA_IN_GOI,019_PSA_019_015
EXTRA_IN_GOI,019_PSA_020_010
EXTRA_IN_GOI,019_PSA_021_014
EXTRA_IN_GOI,019_PSA_022_032
EXTRA_IN_GOI,019_PSA_030_013
EXTRA_IN_GOI,019_PSA_031_025
EXTRA_IN_GOI,019_PSA_034_023
EXTRA_IN_GOI,019_PSA_036_013
EXTRA_IN_GOI,019_PSA_038_023
EXTRA_IN_GOI,019_PSA_039_014
EXTRA_IN_GOI,019_PSA_040_018
EXTRA_IN_GOI,019_PSA_041_014
EXTRA_IN_GOI,019_PSA_042_012
EXTRA_IN_GOI,019_PSA_044_027
